start, 2012-11-26 15:08:25.520, 30
timestamp, sec, x, y, z, m11, m12, m13, m21, m22, m23, m31, m32, m33, heading, heading_acc
2012-11-26 15:08:27.314, 1.862676, 0.022720, -0.028381, -1.009949, 0.999359, -0.000650, -0.035805, 0.001908, 0.999382, 0.035098, 0.035760, -0.035143, 0.998742, 54.206635, 25.000000
2012-11-26 15:08:27.346, 1.894502, 0.028763, -0.015518, -1.005920, 0.999359, -0.000650, -0.035805, 0.001908, 0.999382, 0.035098, 0.035760, -0.035143, 0.998742, 54.206635, 25.000000
2012-11-26 15:08:27.378, 1.926591, 0.026413, -0.028244, -0.990143, 0.999382, 0.000023, -0.035145, 0.001183, 0.999410, 0.034314, 0.035125, -0.034334, 0.998793, 54.206635, 25.000000
2012-11-26 15:08:27.411, 1.958837, 0.026108, -0.039978, -0.982239, 0.999422, -0.000632, -0.033999, 0.001768, 0.999440, 0.033401, 0.033959, -0.033442, 0.998864, 54.206635, 25.000000
2012-11-26 15:08:27.442, 1.990078, 0.020462, -0.039169, -1.001083, 0.999422, -0.000632, -0.033999, 0.001768, 0.999440, 0.033401, 0.033959, -0.033442, 0.998864, 54.206635, 25.000000
2012-11-26 15:08:27.474, 2.022194, 0.026825, -0.031342, -1.036591, 0.999427, -0.001266, -0.033823, 0.002391, 0.999444, 0.033251, 0.033762, -0.033313, 0.998875, 54.206635, 25.000000
2012-11-26 15:08:27.507, 2.054775, 0.048050, -0.037766, -1.024399, 0.999435, -0.002013, -0.033542, 0.003094, 0.999476, 0.032214, 0.033459, -0.032299, 0.998918, 54.206635, 25.000000
2012-11-26 15:08:27.538, 2.086268, 0.048965, -0.043640, -1.031311, 0.999435, -0.002013, -0.033542, 0.003094, 0.999476, 0.032214, 0.033459, -0.032299, 0.998918, 54.206635, 25.000000
2012-11-26 15:08:27.570, 2.117928, 0.047806, -0.042587, -1.009583, 0.999398, -0.002981, -0.034574, 0.004115, 0.999454, 0.032795, 0.034457, -0.032918, 0.998864, 54.206635, 25.000000
2012-11-26 15:08:27.601, 2.149647, 0.032898, -0.040817, -0.979156, 0.999349, -0.003671, -0.035902, 0.004948, 0.999356, 0.035546, 0.035749, -0.035700, 0.998723, 54.206635, 25.000000
2012-11-26 15:08:27.632, 2.180027, 0.021698, -0.023483, -0.998108, 0.999349, -0.003671, -0.035902, 0.004948, 0.999356, 0.035546, 0.035749, -0.035700, 0.998723, 54.206635, 25.000000
2012-11-26 15:08:27.664, 2.212403, 0.028564, -0.027298, -1.008896, 0.999354, -0.002860, -0.035813, 0.004150, 0.999343, 0.036001, 0.035686, -0.036126, 0.998710, 54.206635, 25.000000
2012-11-26 15:08:27.695, 2.243282, 0.035324, -0.036987, -1.018661, 0.999346, -0.001744, -0.036116, 0.003011, 0.999381, 0.035058, 0.036033, -0.035144, 0.998733, 54.206635, 25.000000
2012-11-26 15:08:27.729, 2.276959, 0.029449, -0.032181, -1.007889, 0.999330, -0.001466, -0.036570, 0.002718, 0.999412, 0.034194, 0.036499, -0.034271, 0.998746, 54.206635, 25.000000
2012-11-26 15:08:27.761, 2.308873, 0.027557, -0.030273, -1.011856, 0.999327, -0.001081, -0.036666, 0.002310, 0.999437, 0.033467, 0.036610, -0.033529, 0.998767, 54.206635, 25.000000
2012-11-26 15:08:27.793, 2.341393, 0.019852, -0.026505, -1.012970, 0.999330, -0.000418, -0.036591, 0.001657, 0.999426, 0.033845, 0.036556, -0.033883, 0.998757, 54.206635, 25.000000
2012-11-26 15:08:27.825, 2.372986, 0.028854, -0.016556, -1.015793, 0.999349, 0.000181, -0.036080, 0.001015, 0.999451, 0.033128, 0.036067, -0.033143, 0.998800, 54.206635, 25.000000
2012-11-26 15:08:27.857, 2.405247, 0.028549, -0.024323, -1.000977, 0.999350, 0.000507, -0.036054, 0.000682, 0.999456, 0.032959, 0.036051, -0.032962, 0.998806, 54.206635, 25.000000
2012-11-26 15:08:27.888, 2.436606, 0.026199, -0.040009, -0.992111, 0.999355, -0.000184, -0.035906, 0.001327, 0.999493, 0.031814, 0.035882, -0.031841, 0.998849, 54.206635, 25.000000
2012-11-26 15:08:27.921, 2.469328, 0.027145, -0.044937, -0.998032, 0.999363, -0.000837, -0.035670, 0.001972, 0.999493, 0.031789, 0.035625, -0.031839, 0.998858, 54.206635, 25.000000
2012-11-26 15:08:27.954, 2.502242, 0.034546, -0.024246, -1.013733, 0.999378, -0.001680, -0.035225, 0.002828, 0.999465, 0.032571, 0.035151, -0.032650, 0.998848, 54.206635, 25.000000
2012-11-26 15:08:27.985, 2.532843, 0.032852, -0.021439, -1.034500, 0.999363, -0.001517, -0.035654, 0.002676, 0.999468, 0.032499, 0.035586, -0.032573, 0.998836, 54.206635, 25.000000
2012-11-26 15:08:28.016, 2.564546, 0.035522, -0.029175, -1.022614, 0.999350, -0.001657, -0.036023, 0.002764, 0.999525, 0.030694, 0.035955, -0.030774, 0.998879, 54.206635, 25.000000
2012-11-26 15:08:28.048, 2.596138, 0.041046, -0.034882, -1.001785, 0.999359, -0.002270, -0.035714, 0.003313, 0.999569, 0.029166, 0.035632, -0.029266, 0.998936, 54.206635, 25.000000
2012-11-26 15:08:28.079, 2.627200, 0.029358, -0.039047, -1.012833, 0.999336, -0.003554, -0.036268, 0.004658, 0.999527, 0.030383, 0.036143, -0.030532, 0.998880, 54.206635, 25.000000
2012-11-26 15:08:28.111, 2.659132, 0.030106, -0.037979, -0.988098, 0.999316, -0.004742, -0.036678, 0.005885, 0.999498, 0.031139, 0.036512, -0.031333, 0.998842, 54.206635, 25.000000
2012-11-26 15:08:28.142, 2.690648, 0.034134, -0.039902, -1.003860, 0.999311, -0.005443, -0.036713, 0.006644, 0.999444, 0.032685, 0.036515, -0.032906, 0.998791, 54.206635, 25.000000
2012-11-26 15:08:28.176, 2.723706, 0.032303, -0.037018, -1.009811, 0.999297, -0.005556, -0.037086, 0.006796, 0.999418, 0.033419, 0.036879, -0.033647, 0.998753, 54.206635, 25.000000
2012-11-26 15:08:28.207, 2.755074, 0.041000, -0.040771, -1.007721, 0.999287, -0.005526, -0.037341, 0.006780, 0.999414, 0.033551, 0.037133, -0.033780, 0.998739, 54.206635, 25.000000
2012-11-26 15:08:28.238, 2.786366, 0.022812, -0.023499, -1.009949, 0.999319, -0.004658, -0.036596, 0.005872, 0.999434, 0.033130, 0.036421, -0.033322, 0.998781, 54.206635, 25.000000
2012-11-26 15:08:28.270, 2.818118, 0.022629, -0.021454, -0.987228, 0.999350, -0.003263, -0.035911, 0.004430, 0.999463, 0.032457, 0.035786, -0.032594, 0.998828, 54.206635, 25.000000
2012-11-26 15:08:28.302, 2.849820, 0.026001, -0.005768, -1.002975, 0.999392, -0.002854, -0.034753, 0.003965, 0.999482, 0.031932, 0.034643, -0.032050, 0.998886, 54.206635, 25.000000
2012-11-26 15:08:28.333, 2.881084, 0.018188, -0.011826, -1.014969, 0.999411, -0.003094, -0.034171, 0.004135, 0.999529, 0.030408, 0.034061, -0.030532, 0.998953, 54.206635, 25.000000
2012-11-26 15:08:28.365, 2.913241, 0.035767, -0.044708, -0.981110, 0.999459, -0.004381, -0.032600, 0.005274, 0.999612, 0.027358, 0.032467, -0.027515, 0.999094, 54.206635, 25.000000
2012-11-26 15:08:28.397, 2.945595, 0.036804, -0.051590, -0.999863, 0.999453, -0.006251, -0.032463, 0.007156, 0.999587, 0.027823, 0.032276, -0.028040, 0.999086, 54.206635, 25.000000
2012-11-26 15:08:28.430, 2.977676, 0.035400, -0.039001, -1.031509, 0.999453, -0.006251, -0.032463, 0.007156, 0.999587, 0.027823, 0.032276, -0.028040, 0.999086, 54.206635, 25.000000
2012-11-26 15:08:28.460, 3.008370, 0.031525, -0.034164, -1.024643, 0.999442, -0.006503, -0.032761, 0.007402, 0.999598, 0.027382, 0.032570, -0.027609, 0.999088, 54.206635, 25.000000
2012-11-26 15:08:28.493, 3.040606, 0.030670, -0.029282, -1.026642, 0.999455, -0.006247, -0.032427, 0.007130, 0.999605, 0.027181, 0.032244, -0.027397, 0.999104, 54.206635, 25.000000
2012-11-26 15:08:28.524, 3.071992, 0.029663, -0.029282, -1.023697, 0.999455, -0.006247, -0.032427, 0.007130, 0.999605, 0.027181, 0.032244, -0.027397, 0.999104, 54.206635, 25.000000
2012-11-26 15:08:28.574, 3.121711, 0.034241, -0.030075, -0.995956, 0.999467, -0.006101, -0.032078, 0.006952, 0.999625, 0.026480, 0.031904, -0.026689, 0.999135, 54.206635, 25.000000
2012-11-26 15:08:28.588, 3.136516, 0.023758, -0.024445, -1.009933, 0.999493, -0.005888, -0.031293, 0.006743, 0.999605, 0.027282, 0.031120, -0.027479, 0.999138, 54.206635, 25.000000
2012-11-26 15:08:28.619, 3.166990, 0.025803, -0.015564, -1.002975, 0.999493, -0.005888, -0.031293, 0.006743, 0.999605, 0.027282, 0.031120, -0.027479, 0.999138, 54.206635, 25.000000
